epoch,loss
0,64.82952626546223
1,64.82900975545247
2,64.82900988260904
3,64.82900992749947
4,64.82900985067255
5,64.82901004950206
6,64.82900958737628
7,64.82901013692221
8,64.82900989136367
9,64.82900950113932
