train_losses,train_accuracies,test_losses,test_accuracies,epoch
0.6930650389295513,0.5,0.6927362236322141,0.4777777777777778,1
0.690243871535285,0.586864406779661,0.6868721988855624,0.6679012345679012,2
0.6805690923484705,0.6567796610169492,0.6737900241917255,0.6679012345679012,3
0.6660857122328322,0.6567796610169492,0.6590339734273798,0.6679012345679012,4
0.6507393743022013,0.6567796610169492,0.6443570922402775,0.6679012345679012,5
0.6364864400130207,0.6626059322033898,0.6309123635292053,0.7037037037037037,6
0.6237233431409981,0.7198093220338984,0.6186196707627353,0.7333333333333333,7
0.6119632688114198,0.7452330508474576,0.6082416799138574,0.7333333333333333,8
0.600597601825908,0.7425847457627118,0.5975689931827433,0.7246913580246913,9
0.5883124921534021,0.729343220338983,0.5808532544795204,0.7320987654320987,10
0.5713886364789332,0.7505296610169492,0.5567067510941449,0.7395061728395061,11
0.5454833275180752,0.7595338983050848,0.524485662871716,0.7493827160493827,12
0.511406235523143,0.7960805084745762,0.4893651002762364,0.8432098765432099,13
0.47072804491903825,0.84375,0.44875146112605635,0.8567901234567902,14
0.4265208315041106,0.8691737288135594,0.409336643622202,0.8814814814814815,15
0.3868200780855397,0.892478813559322,0.37727705038645687,0.8851851851851852,16
0.3551250840142622,0.9046610169491526,0.35240772760966244,0.891358024691358,17
0.3300747214737585,0.909427966101695,0.3314766346239576,0.8925925925925926,18
0.30945084727037764,0.9136652542372882,0.31475333679540485,0.8950617283950617,19
0.2916996405791428,0.920021186440678,0.29965812844388623,0.8987654320987655,20
0.27567470537782723,0.9258474576271186,0.28635408890013603,0.9037037037037037,21
0.2608336035351632,0.9300847457627118,0.2740381673416671,0.9061728395061729,22
0.24713783247112217,0.9353813559322034,0.26166291425333305,0.9148148148148149,23
0.23491346772949576,0.941207627118644,0.25028736414570435,0.9135802469135802,24
0.22425751602750713,0.9454449152542372,0.2396669921775659,0.9148148148148149,25
0.21496997404275303,0.9459745762711864,0.23124070637220262,0.917283950617284,26
0.20670232887111478,0.9465042372881356,0.22376327968987764,0.9185185185185185,27
0.19921509653203567,0.9470338983050848,0.21861697463136093,0.9185185185185185,28
0.1924358791024503,0.9496822033898306,0.21004695207903198,0.9308641975308642,29
0.1861294574435737,0.9528601694915254,0.20421468232776605,0.9345679012345679,30
0.18033051301362152,0.9544491525423728,0.19818911336216272,0.9345679012345679,31
0.17491759161733217,0.9539194915254238,0.19442909840932665,0.9345679012345679,32
0.16989626400804114,0.9539194915254238,0.19229438090149095,0.9345679012345679,33
0.16522821676680596,0.9528601694915254,0.18543452218028844,0.9333333333333333,34
0.16088643984206147,0.9539194915254238,0.18086879086845062,0.9382716049382716,35
0.1568537183989913,0.9533898305084746,0.18159833504800119,0.9382716049382716,36
0.1531073951193968,0.9544491525423728,0.17317050074537596,0.9358024691358025,37
0.14956150660922718,0.954978813559322,0.16804304952714957,0.9358024691358025,38
0.14625997746647415,0.9544491525423728,0.16516424814129577,0.9358024691358025,39
0.14327130524315318,0.9560381355932204,0.16089491851116514,0.9382716049382716,40
0.14037741696209474,0.9565677966101694,0.1572328253886571,0.9382716049382716,41
0.13772299390096784,0.9565677966101694,0.15525657241689225,0.9382716049382716,42
0.13524133616553272,0.9565677966101694,0.1519450112337283,0.9407407407407408,43
0.13281013538776817,0.9565677966101694,0.1503394222727009,0.9407407407407408,44
0.1305706734232352,0.9570974576271186,0.14642974998181066,0.9419753086419753,45
0.12844205211642815,0.9576271186440678,0.1440339638285485,0.9407407407407408,46
0.12641729091657167,0.9576271186440678,0.1425171660661113,0.9444444444444444,47
0.1244271216693066,0.9597457627118644,0.1387349580798079,0.9444444444444444,48
0.12258797805061784,0.9602754237288136,0.13668186224850953,0.9444444444444444,49
0.12077519566341603,0.9608050847457628,0.1356121406790015,0.9432098765432099,50
0.11907565408638852,0.9608050847457628,0.1370917556661309,0.9432098765432099,51
0.1174012925002282,0.9608050847457628,0.13106705844584926,0.9432098765432099,52
0.11579721841677013,0.9608050847457628,0.1285959647913628,0.9432098765432099,53
0.11428289436656287,0.9608050847457628,0.12679612820091493,0.9432098765432099,54
0.11275349799898784,0.9608050847457628,0.12498543321100228,0.9432098765432099,55
0.11127965906003522,0.965572033898305,0.12506075883649437,0.9530864197530864,56
0.10976614461722389,0.9661016949152542,0.12164322570806332,0.9555555555555556,57
0.10834456533114663,0.9666313559322034,0.12240797967887392,0.9580246913580247,58
0.10688235088630374,0.9671610169491526,0.11822311481570497,0.9604938271604938,59
0.1053761289991691,0.9666313559322034,0.11703484440131076,0.9604938271604938,60
0.10382778143857495,0.9666313559322034,0.11503807775785818,0.9604938271604938,61
0.1023470419656359,0.9671610169491526,0.11278781077514093,0.9604938271604938,62
0.10080213625560183,0.9682203389830508,0.11114664839617178,0.9617283950617284,63
0.09923661135184436,0.9698093220338984,0.10995167666388785,0.9617283950617284,64
0.09766155182407632,0.9698093220338984,0.1071070258633471,0.9617283950617284,65
0.0960335559290597,0.9698093220338984,0.10542617296781756,0.9617283950617284,66
0.09441574572356638,0.9713983050847458,0.10351355366554915,0.9666666666666667,67
0.09275014703734226,0.9713983050847458,0.10139601740657407,0.9666666666666667,68
0.09105751039539227,0.9713983050847458,0.09944713697312217,0.9666666666666667,69
0.08935796492535747,0.972457627118644,0.09773841101274479,0.9679012345679012,70
0.0877193521720089,0.9735169491525424,0.09551879202070482,0.9679012345679012,71
0.08597722857543347,0.9735169491525424,0.09346215976584776,0.971604938271605,72
0.08427179934973908,0.9735169491525424,0.09271289882085779,0.9703703703703703,73
